Mg2SiO3,,,,,,,Mg4SiO3,,,,,,Mg3SiO4,,,,
Energy,PDOS,,,,,,Energy,PDOS,,,,,Energy,PDOS,,,
eV,Mg 3s,Si 3p,O 2p,ISQ,,,eV,Mg 3s,Si 3p,O 2p,,,eV,Mg 3s,Si 3p,O 2p,ISQ
,,,,,,,,,,,,,,,,,
-32.16117,7.4E-4,1E-5,4E-5,3.8E-4,,,-38.91568,6E-5,0,0,,,-30.27465,7.8E-4,0,4E-5,2.2E-4
-32.12717,0.00123,3E-5,7E-5,6.3E-4,,,-38.87368,1.3E-4,0,0,,,-30.23865,0.00137,0,8E-5,3.9E-4
-32.09317,0.00196,4E-5,1.4E-4,0.001,,,-38.83068,2.8E-4,1E-5,1E-5,,,-30.20365,0.0023,2E-5,1.3E-4,6.6E-4
-32.05917,0.00299,6E-5,2E-4,0.00153,,,-38.78868,5.5E-4,2E-5,3E-5,,,-30.16865,0.00369,3E-5,2.2E-4,0.00106
-32.02517,0.00436,1.1E-4,3.1E-4,0.00225,,,-38.74568,0.00101,4E-5,4E-5,,,-30.13265,0.00563,5E-5,3.4E-4,0.00163
-31.99117,0.00613,1.7E-4,4.3E-4,0.00317,,,-38.70368,0.00174,7E-5,1E-4,,,-30.09765,0.00821,8E-5,5.1E-4,0.00238
-31.95717,0.00828,2.5E-4,6.1E-4,0.0043,,,-38.66068,0.00278,1.3E-4,1.7E-4,,,-30.06265,0.01147,1.2E-4,7.1E-4,0.00333
-31.92317,0.01079,3.5E-4,8E-4,0.00563,,,-38.61868,0.00419,2.3E-4,2.7E-4,,,-30.02765,0.01535,1.8E-4,9.8E-4,0.00446
-31.88917,0.0136,5E-4,0.00104,0.00714,,,-38.57568,0.00595,3.7E-4,4.1E-4,,,-29.99165,0.01975,2.6E-4,0.00127,0.00576
-31.85517,0.01661,6.7E-4,0.00133,0.00877,,,-38.53368,0.00801,5.6E-4,6.2E-4,,,-29.95665,0.02447,3.5E-4,0.00162,0.00717
-31.82117,0.01972,8.9E-4,0.00164,0.01049,,,-38.49068,0.01026,8.1E-4,8.7E-4,,,-29.92165,0.02933,4.6E-4,0.00199,0.00863
-31.78717,0.02282,0.00116,0.00197,0.01224,,,-38.44868,0.01262,0.00115,0.00116,,,-29.88665,0.03412,5.8E-4,0.00238,0.01009
-31.75317,0.02585,0.00145,0.00234,0.01398,,,-38.40668,0.01498,0.00156,0.00153,,,-29.85065,0.03874,7.4E-4,0.0028,0.01154
-31.71917,0.02874,0.00179,0.00272,0.01571,,,-38.36368,0.01725,0.00206,0.00194,,,-29.81565,0.04315,9.1E-4,0.00324,0.01294
-31.68617,0.03148,0.00216,0.00314,0.01741,,,-38.32168,0.01936,0.00264,0.0024,,,-29.78065,0.04742,0.00112,0.0037,0.01434
-31.65217,0.03406,0.00255,0.00357,0.01909,,,-38.27868,0.0213,0.00331,0.00291,,,-29.74565,0.05162,0.00136,0.00418,0.01573
-31.61817,0.03649,0.00296,0.00405,0.02074,,,-38.23668,0.02308,0.00407,0.00344,,,-29.70965,0.05582,0.00163,0.0047,0.01714
-31.58417,0.0388,0.00341,0.00455,0.02242,,,-38.19368,0.02472,0.00493,0.00403,,,-29.67465,0.05996,0.00192,0.00524,0.01855
-31.55017,0.041,0.00387,0.00508,0.02408,,,-38.15168,0.02626,0.0059,0.00466,,,-29.63965,0.0639,0.00222,0.00577,0.0199
-31.51617,0.04308,0.00438,0.00564,0.02576,,,-38.10868,0.02777,0.007,0.00536,,,-29.60365,0.06744,0.00253,0.00628,0.02112
-31.48217,0.04512,0.00494,0.00623,0.02744,,,-38.06668,0.0293,0.00823,0.00614,,,-29.56865,0.0703,0.00282,0.00675,0.02216
-31.44817,0.04708,0.00557,0.00685,0.02912,,,-38.02368,0.03086,0.00965,0.00698,,,-29.53365,0.0724,0.0031,0.00716,0.02296
-31.41417,0.049,0.00631,0.00749,0.03078,,,-37.98168,0.03248,0.01127,0.0079,,,-29.49865,0.07374,0.00336,0.00755,0.0236
-31.38017,0.05088,0.00713,0.00813,0.0324,,,-37.93868,0.03414,0.01311,0.00887,,,-29.46265,0.07468,0.00362,0.00793,0.02416
-31.34617,0.05264,0.00805,0.00876,0.03394,,,-37.89668,0.0358,0.01521,0.0099,,,-29.42765,0.0755,0.0039,0.00838,0.02476
-31.31217,0.05424,0.00902,0.00936,0.03532,,,-37.85368,0.03741,0.01755,0.01095,,,-29.39265,0.0767,0.00422,0.00893,0.02552
-31.27817,0.05556,0.01,0.00992,0.03648,,,-37.81168,0.0389,0.02009,0.01203,,,-29.35765,0.07848,0.00458,0.00958,0.02654
-31.24417,0.05644,0.01093,0.01039,0.03736,,,-37.76968,0.04028,0.02278,0.01312,,,-29.32165,0.08088,0.00499,0.01032,0.02778
-31.21017,0.05688,0.01178,0.01078,0.0379,,,-37.72668,0.04155,0.02544,0.01427,,,-29.28665,0.08364,0.00541,0.01111,0.02916
-31.17617,0.0568,0.01253,0.01108,0.0381,,,-37.68468,0.04273,0.02799,0.01545,,,-29.25165,0.08644,0.00586,0.0119,0.03056
-31.14317,0.05628,0.01317,0.01131,0.03802,,,-37.64168,0.04383,0.03029,0.0167,,,-29.21665,0.08892,0.00629,0.01265,0.0318
-31.10917,0.05552,0.01371,0.01148,0.03774,,,-37.59968,0.04483,0.03224,0.01797,,,-29.18065,0.09086,0.0067,0.01332,0.03286
-31.07517,0.05468,0.01426,0.01163,0.0374,,,-37.55668,0.04569,0.03379,0.01921,,,-29.14565,0.09224,0.0071,0.01393,0.03372
-31.04117,0.054,0.01485,0.01182,0.0371,,,-37.51468,0.04631,0.03497,0.0204,,,-29.11065,0.09336,0.00752,0.01453,0.03448
-31.00717,0.0536,0.01558,0.01204,0.03694,,,-37.47168,0.04663,0.03577,0.02147,,,-29.07465,0.09442,0.00797,0.01516,0.03526
-30.97317,0.05368,0.01645,0.01234,0.037,,,-37.42968,0.04662,0.03632,0.02243,,,-29.03965,0.09578,0.00846,0.01587,0.03618
-30.93917,0.05412,0.01753,0.01271,0.03726,,,-37.38668,0.04628,0.03668,0.02323,,,-29.00465,0.0975,0.00899,0.01669,0.0373
-30.90517,0.05484,0.01876,0.01311,0.03766,,,-37.34468,0.04567,0.037,0.02391,,,-28.96965,0.09958,0.00956,0.01763,0.0386
-30.87117,0.05576,0.02011,0.01352,0.03812,,,-37.30168,0.04488,0.03738,0.02447,,,-28.93365,0.10174,0.01012,0.01862,0.04004
-30.83717,0.0566,0.02152,0.01392,0.03856,,,-37.25968,0.04402,0.03788,0.02496,,,-28.89865,0.10372,0.01065,0.01964,0.0415
-30.80317,0.05728,0.02291,0.01429,0.03886,,,-37.21768,0.04319,0.03855,0.02544,,,-28.86365,0.10522,0.01111,0.02066,0.0429
-30.76917,0.05764,0.02422,0.01456,0.03898,,,-37.17468,0.04253,0.03935,0.02598,,,-28.82865,0.10618,0.01151,0.02163,0.04422
-30.73517,0.0576,0.0254,0.01477,0.03886,,,-37.13268,0.04208,0.04027,0.02662,,,-28.79265,0.1066,0.01184,0.02264,0.04546
